t,t_global,regime,switch,a,pi_max,entropy,margin,zone_id,x,y,g_0,g_1,g_2,g_3,g_4,g_5,g_6,g_7,g_8,g_9,g_10,g_11
175,174,0,0,3,0.9800084829330444,0.1240941733121872,0.9720794558525085,2,14,7,-0.7419530153274536,0.03483080863952637,-0.01977609097957611,0.6297939419746399,-0.946666419506073,0.12893642485141754,0.6255710124969482,-0.9610223174095154,0.5807322263717651,1.2564367055892944,-0.4734591841697693,-0.0020357980392873287
176,175,0,0,3,0.9912266135215759,0.0616488978266716,0.987896203994751,2,14,7,-0.7371364831924438,0.03504427522420883,-0.020096566528081894,0.6246117353439331,-0.9466009140014648,0.12761151790618896,0.6255271434783936,-0.9613866806030273,0.5849422812461853,1.2587023973464966,-0.47522324323654175,-0.0034441370517015457
177,176,0,0,3,0.991990864276886,0.056965187191963196,0.988796591758728,2,14,7,-0.7334063053131104,0.03430534899234772,-0.021663330495357513,0.6270703673362732,-0.9467143416404724,0.12796121835708618,0.6244616508483887,-0.9616437554359436,0.5847055315971375,1.258815884590149,-0.47716009616851807,-0.003370836144313216
178,177,0,0,3,0.9875963926315308,0.08289846032857895,0.9827424883842468,2,14,7,-0.7341064810752869,0.034719280898571014,-0.02101120539009571,0.625605583190918,-0.9468868970870972,0.12787213921546936,0.6245520114898682,-0.9616996645927429,0.585250198841095,1.2591056823730469,-0.47677546739578247,-0.003494703210890293
179,178,0,0,3,0.9900771379470825,0.06849588453769684,0.986151397228241,2,14,7,-0.7334932088851929,0.03481112793087959,-0.020987464115023613,0.6250914931297302,-0.9468722343444824,0.12767642736434937,0.6245138645172119,-0.9617529511451721,0.5859405398368835,1.2590887546539307,-0.47723060846328735,-0.0035759075544774532
180,179,0,0,3,0.9854459762573242,0.0949518010020256,0.9796772599220276,2,14,7,-0.7350517511367798,0.03485206887125969,-0.02098311483860016,0.6266980767250061,-0.9469248056411743,0.12840259075164795,0.6245354413986206,-0.9616894125938416,0.5844022035598755,1.2583377361297607,-0.47679710388183594,-0.0030039174016565084
181,180,0,0,3,0.9791432619094849,0.12862055003643036,0.9709689617156982,2,14,7,-0.7396643757820129,0.035538699477910995,-0.019268231466412544,0.6256887912750244,-0.9469356536865234,0.1287895292043686,0.6252093315124512,-0.961418092250824,0.5832672715187073,1.2578009366989136,-0.4747920036315918,-0.0025464354548603296
182,181,0,0,3,0.9828925132751465,0.10886896401643753,0.9761337041854858,2,14,7,-0.7421523928642273,0.0357382670044899,-0.018847070634365082,0.6269223690032959,-0.9469730854034424,0.12949997186660767,0.6254010200500488,-0.9612919092178345,0.5815773606300354,1.2570077180862427,-0.473909854888916,-0.001945090014487505
183,182,0,0,3,0.9876077771186829,0.08280683308839798,0.9826624393463135,2,14,7,-0.7421947717666626,0.03554285690188408,-0.019327910616993904,0.6289504170417786,-0.9470453262329102,0.13020285964012146,0.6250725984573364,-0.961323618888855,0.5802662372589111,1.2564475536346436,-0.47421732544898987,-0.0014371175784617662
184,183,0,0,3,0.9834544658660889,0.10582821816205978,0.9769021272659302,2,14,7,-0.7446662783622742,0.03580588847398758,-0.018701227381825447,0.6294546723365784,-0.947070300579071,0.13081321120262146,0.6252806782722473,-0.9611873626708984,0.5790391564369202,1.255826473236084,-0.47332823276519775,-0.0009649503044784069
185,184,0,0,3,0.9893581867218018,0.07272538542747498,0.9851409196853638,2,14,7,-0.7431449890136719,0.035479359328746796,-0.019532006233930588,0.6310203075408936,-0.9471591114997864,0.13120661675930023,0.6247205138206482,-0.9613288044929504,0.5785324573516846,1.2557672262191772,-0.4742254912853241,-0.0007335949339903891
186,185,0,0,3,0.9862247705459595,0.09061877429485321,0.9807524085044861,2,14,7,-0.7443351745605469,0.03553394600749016,-0.01934025064110756,0.6320014595985413,-0.9471248984336853,0.1316080391407013,0.6247939467430115,-0.9612435698509216,0.5775647759437561,1.255126953125,-0.47400444746017456,-0.0003176302707288414
187,186,0,0,3,0.9900274872779846,0.06877904385328293,0.98606276512146,2,14,7,-0.7419288158416748,0.035012368112802505,-0.020624127238988876,0.6339485049247742,-0.9473199844360352,0.13224057853221893,0.6238873600959778,-0.9614765048027039,0.5769819021224976,1.2553596496582031,-0.4751829206943512,-0.00011644394544418901
188,187,0,0,3,0.9897695779800415,0.0703154057264328,0.9857433438301086,2,14,7,-0.739974319934845,0.03476938605308533,-0.021344223991036415,0.634315550327301,-0.9474746584892273,0.1324596256017685,0.6233253479003906,-0.9616769552230835,0.5773139595985413,1.255787968635559,-0.4760403037071228,-0.00025457257288508117
189,188,0,0,3,0.983521580696106,0.10547960549592972,0.9770240187644958,2,14,7,-0.7431877255439758,0.03532129526138306,-0.01993546262383461,0.6329999566078186,-0.9473896026611328,0.1324785053730011,0.6239438652992249,-0.9614525437355042,0.5770291090011597,1.2553547620773315,-0.4747440218925476,3.3846445148810744e-06
190,189,0,0,3,0.991685688495636,0.05884958803653717,0.9884368777275085,2,14,7,-0.7393775582313538,0.03499474376440048,-0.020858274772763252,0.6322884559631348,-0.9473859071731567,0.13184866309165955,0.6234008073806763,-0.9617193937301636,0.5787750482559204,1.25626802444458,-0.476370245218277,-0.0005385068361647427
191,190,0,0,3,0.9836059808731079,0.10500531643629074,0.9770851135253906,2,14,7,-0.7421121597290039,0.0352075956761837,-0.02023508958518505,0.6330187916755676,-0.9472832679748535,0.13236834108829498,0.6238198280334473,-0.9615055918693542,0.5774658918380737,1.2553331851959229,-0.4754452109336853,8.887378498911858e-06
192,191,0,0,3,0.988262951374054,0.0790896862745285,0.9836782813072205,2,14,7,-0.7423096895217896,0.03567958250641823,-0.019375793635845184,0.6301074028015137,-0.9472662210464478,0.13189172744750977,0.6241118311882019,-0.961519181728363,0.579095184803009,1.2558624744415283,-0.47536739706993103,-0.0003611075517255813
193,192,0,0,3,0.9917200803756714,0.05863632261753082,0.9884784817695618,2,14,7,-0.7388173341751099,0.035437457263469696,-0.020102234557271004,0.6291967034339905,-0.9472682476043701,0.13128530979156494,0.6236434578895569,-0.9617575407028198,0.5809188485145569,1.2566676139831543,-0.47685784101486206,-0.0009862916776910424
194,193,0,0,3,0.9843632578849792,0.10090643167495728,0.9781786203384399,2,14,7,-0.7406846284866333,0.03552880883216858,-0.01988263800740242,0.6303695440292358,-0.9472873210906982,0.13190042972564697,0.6237795948982239,-0.9616625308990479,0.5794909000396729,1.2560031414031982,-0.47620832920074463,-0.00046881791786290705
195,194,0,0,3,0.9883121848106384,0.07877923548221588,0.9836708307266235,2,14,7,-0.740669310092926,0.035494159907102585,-0.020023949444293976,0.6308345198631287,-0.9473651051521301,0.13228093087673187,0.6235803365707397,-0.9616961479187012,0.57924485206604,1.2558295726776123,-0.47634321451187134,-0.0003415052779018879
196,195,0,0,3,0.9919850826263428,0.0570230707526207,0.9888966679573059,2,14,7,-0.7358227968215942,0.035296279937028885,-0.02088911272585392,0.628386378288269,-0.9473660588264465,0.13108421862125397,0.6231526136398315,-0.962056577205658,0.582227349281311,1.2575106620788574,-0.4780645966529846,-0.0014354884624481201
